id,tp,tb,tt,tipus
1,3752,1428,5180,BEBB
2,3510,1571,5081,BEBB
3,3134,1612,4746,BEBB
4,3098,1465,4563,BEBB
5,2877,1770,4647,BEBB
6,3329,1010,4339,BEBB
7,3531,1051,4582,BEBB
8,3317,1421,4738,BEBB
9,3288,1471,4759,BEBB
10,3203,1348,4551,BEBB
11,3057,1427,4484,BEBB
12,3119,1527,4646,BEBB
13,3037,1159,4196,BEBB
14,3057,1568,4625,BEBB
15,3313,1534,4847,BEBB
16,3394,1126,4520,BEBB
17,2782,1466,4248,BEBB
18,3046,1515,4561,BEBB
19,3230,1244,4474,BEBB
20,3336,1333,4669,BEBB
21,3152,2119,5271,BEBB
22,3016,1517,4533,BEBB
23,3363,1039,4402,BEBB
24,2877,1034,3911,BEBB
25,3208,1268,4476,BEBB
26,3625,1587,5212,BEMB
27,3466,2111,5577,BEMB
28,3368,1801,5169,BEMB
29,2947,2039,4986,BEMB
30,3320,2480,5800,BEMB
31,3558,2562,6120,BEMB
32,3106,1923,5029,BEMB
33,3277,1776,5053,BEMB
34,3351,2507,5858,BEMB
35,3277,1865,5142,BEMB
36,3193,1715,4908,BEMB
37,3307,1905,5212,BEMB
38,3226,2434,5660,BEMB
39,3471,2007,5478,BEMB
40,3414,2047,5461,BEMB
41,3418,2362,5780,BEMB
42,2827,2109,4936,BEMB
43,3339,2161,5500,BEMB
44,3462,2082,5544,BEMB
45,3408,2461,5869,BEMB
46,2815,1994,4809,BEMB
47,3308,2287,5595,BEMB
48,2990,2308,5298,BEMB
49,3188,2087,5275,BEMB
50,3662,1924,5586,BEMB
51,4570,1372,5942,MEBB
52,3715,1787,5502,MEBB
53,4113,1428,5541,MEBB
54,4555,1329,5884,MEBB
55,4561,1741,6302,MEBB
56,4432,1733,6165,MEBB
57,4073,2365,6438,MEBB
58,4554,1386,5940,MEBB
59,4378,1296,5674,MEBB
60,4151,1696,5847,MEBB
61,4555,1450,6005,MEBB
62,4199,1733,5932,MEBB
63,4613,1036,5649,MEBB
64,4103,1679,5782,MEBB
65,4476,1565,6041,MEBB
66,4545,1344,5889,MEBB
67,4286,1041,5327,MEBB
68,4272,1772,6044,MEBB
69,4650,1601,6251,MEBB
70,4214,1648,5862,MEBB
71,4079,1578,5657,MEBB
72,4576,1518,6094,MEBB
73,4442,1516,5958,MEBB
74,4349,1226,5575,MEBB
75,4242,1318,5560,MEBB
76,4766,2459,7225,MEMB
77,4582,1614,6196,MEMB
78,4747,2113,6860,MEMB
79,4065,2065,6130,MEMB
80,4357,1964,6321,MEMB
81,4575,2200,6775,MEMB
82,4666,1829,6495,MEMB
83,4255,2154,6409,MEMB
84,4181,2642,6823,MEMB
85,4272,2418,6690,MEMB
86,4474,2013,6487,MEMB
87,4401,2028,6429,MEMB
88,4296,1848,6144,MEMB
89,3738,2068,5806,MEMB
90,4062,1614,5676,MEMB
91,4399,1937,6336,MEMB
92,4064,1941,6005,MEMB
93,4091,2161,6252,MEMB
94,4374,1961,6335,MEMB
95,4157,2317,6474,MEMB
96,4409,2381,6790,MEMB
97,4452,2409,6861,MEMB
98,3752,2212,5964,MEMB
99,4218,2779,6997,MEMB
100,4404,2516,6920,MEMB
